name,district,votenumber,party,age,occupation,education,page,oik,nat,lib,segment
Irma Taavela,06 Hämeen vaalipiiri,33,Vasemmistoliitto,39,insinööri & merkonomi,korkeakoulututkinto ,http://www.irmataavela.fi,-1.4267087905,-0.9863471769,0.860359825,Vasemmistoliberaalit
Tarja Bohm,08 Kaakkois-Suomen vaalipiiri,58,Vasemmistoliitto,56,kieltenopettaja & tulkki/kääntäjä,korkeakoulututkinto ,http://tarjabohm.blogspot.fi/,-1.4192813911,-0.6908605196,0.8334780094,Vasemmistoliberaalit
Heikki Patomäki,01 Helsingin vaalipiiri,42,Vasemmistoliitto,52,Professori,korkeakoulututkinto ,http://patomaki.fi/,-1.4150223569,-0.8386406029,1.2158158929,Vasemmistoliberaalit
Taneli Hämäläinen,08 Kaakkois-Suomen vaalipiiri,61,Vasemmistoliitto,32,kansanedustajan avustaja,korkeakoulututkinto ,http://www.city.fi/blogit/vapaamatkustaja,-1.4138300371,-1.2579950901,0.9311942417,Vasemmistoliberaalit
Jorma Mäntylä,07 Pirkanmaan vaalipiiri,150,Vasemmistoliitto,61,Tutkija & toimittaja.,korkeakoulututkinto ,http://blogi.kaapeli.fi/jmantyla,-1.4125510866,0.2629879226,-0.348938092,Maltillinen vasemmisto
Anni Järvinen,09 Savo-Karjalan vaalipiiri,129,Vasemmistoliitto,32,pääsihteeri,korkeakoulututkinto ,http://www.annijarvinen.net,-1.4091290966,-1.2673078412,0.9859656799,Vasemmistoliberaalit
Antti Saarelainen,09 Savo-Karjalan vaalipiiri,137,Vasemmistoliitto,25,Suurtalouskokki,ylioppilas ,http://www.anttisaarelainen.net,-1.4082584387,-1.2886478918,1.3855926374,Vasemmistoliberaalit
Riku Ahola,01 Helsingin vaalipiiri,24,Vasemmistoliitto,34,Toiminnanjohtaja/VTM,korkeakoulututkinto ,http://ehdokas.vasemmisto.fi/rikuahola/,-1.4043241035,-0.6894278076,0.9305410982,Vasemmistoliberaalit
Sinikka Torkkola,07 Pirkanmaan vaalipiiri,154,Vasemmistoliitto,54,Tutkija,,http://www.sinikkatorkkola.fi/,-1.4032896141,-0.5906632502,0.5284663568,Vasemmistoliberaalit
Rauno Pikkarainen,09 Savo-Karjalan vaalipiiri,135,Vasemmistoliitto,49,palomies,ammattitutkinto ,,-1.4014523028,1.00684424,0.880927265,Vasemmistoliberaalit
Antti Knuuttila,10 Vaasan vaalipiiri,24,Vasemmistoliitto,36,automaatio/sähköasentaja,ylioppilas ,http://anttiknuuttila.blogspot.fi/,-1.4006555091,-0.2063113018,0.6898980901,Vasemmistoliberaalit
