name,district,party,age,www,education,segment,oik,imp,lib,vih
Jukka Vornanen,Varsinais-Suomi,Vihreät,30,http://www.jukkavornanen.fi,Ylempi korkeakoulututkinto (FM),Vihervasemmisto,-1.162715388,-0.559726846,0.72680482,1.12344625
Sara Luotonen,Varsinais-Suomi,Vihreät,22,http://www.saraluotonen.fi,ylioppilas (valt. yo),Viherliberaalit,-0.768359967,-1.09145779,0.602056363,1.402225714
Niko Porjo,Varsinais-Suomi,Vihreät,42,http://nikoporjo.blogspot.com/,Maisteri,Viherliberaalit,-0.337951182,-1.047477809,1.149843346,1.038435822
Konsta Weber,Varsinais-Suomi,Vihreät,31,http://www.konstaweber.fi,Filosofian Maisteri & Kauppatieteen maisteri (valmistun 2015),Viherliberaalit,-0.900600497,-1.099575208,1.147610346,1.488373143
Laura Rantanen,Varsinais-Suomi,Vihreät,35,http://www.rantanenlaura.fi/,,Viherliberaalit,-0.958021136,-1.318970329,0.759495485,1.448668138
Mikko Välttilä,Varsinais-Suomi,Vihreät,39,http://www.mikkovalttila.fi,Ylioppilas & AMK kesken,Oikeisto,1.248408983,-1.131262157,0.459305472,-0.155862689
Erkki Perälä,Helsinki,Vihreät,32,http://www.erkkiperala.fi,VTK,Viherliberaalit,-1.023761238,-0.859438864,1.199787288,1.446638199
Tuomas Rantanen,Helsinki,Vihreät,49,http://www.tuomasrantanen.fi,valtiotieteen kandidaatti,Viherliberaalit,-0.921362462,-1.140828255,0.74866045,0.821062284
Kirsikka Moring,Helsinki,Vihreät,69,,akateeminen,Viherliberaalit,-0.548473208,-1.060707398,0.262894437,1.396490041
Heli Järvinen,Kaakkois-Suomi,Vihreät,51,http://www.helijarvinen.fi,YTM & toimittaja & viestinnänopettaja,Viherliberaalit,-0.605217145,-0.353367171,0.750408359,0.944579022
Sini Solala,Satakunta,Vihreät,35,,Yo-tutkinto/ammattitutkinto/erikoisammattitutkinto,Viherliberaalit,-0.539501342,-0.414455022,0.098522724,1.106524941
Juha Sjöholm,Satakunta,Vihreät,45,,Luontokartoittaja,Viherliberaalit,-0.101233277,-1.069980865,0.322953367,0.85917632
Petri Vallinsalo,Satakunta,Vihreät,50,http://satakunnanvihreat.net/ehdokkaat/petrivallinsalo/,rakennusinsinööri,Viherliberaalit,-0.066444408,-0.238981547,0.952754236,0.487621003
Joel Linnainmäki,Uusimaa,Vihreät,24,http://www.linnainmaki.com/,Yhteiskuntatieteiden ylioppilas,Viherliberaalit,-0.78134857,-1.139277236,0.801341637,1.207714137
Aku Kopakkala,Uusimaa,Vihreät,57,http://www.akukopakkala.fi,psykologian maisteri,Viherliberaalit,-0.409461667,-0.731636047,0.798400974,1.13237994
Kai Sadinmaa,Helsinki,Vasemmistoliitto,50,http://www.kaisadinmaa.fi,teologian maisteri,Vihervasemmisto,-1.52940023,-0.10785293,0.314530758,1.510595171
Binar Mustafa,Helsinki,Vasemmistoliitto,31,http://www.binar.fi,AMK,Vihervasemmisto,-1.550102683,-0.613595712,0.564168638,1.560029372
Niilo Kärki,Uusimaa,Perussuomalaiset,59,http://www.kärkiehdokas.fi,Everstiluutnantti & evp,Kansalliskonservatiivit,0.596342582,1.66325736,0.237915097,-1.419397967
Marko Varajärvi,Lappi,Vasemmistoliitto,43,http://loimualappiin.fi/,Filosofian ja yhteiskuntatieteiden maisteri,Demarit,-1.159955968,0.193343899,-0.203003163,-0.355778833
Pekka Niiranen,Savo-Karjala,Kokoomus,51,http://www.pekkaniiranen.fi,Valtiotieteen maisteri & teologian tohtori,Oikeisto,0.886602004,-0.141543124,0.299039463,-0.46518712
Nina Suomalainen,Helsinki,Kokoomus,49,http://www.ninasuomalainen.fi,valtiotieteiden maisteri,Oikeisto,1.280086466,-1.261132604,0.109578929,0.133034816
Anneli Manninen,Vaasa,Perussuomalaiset,62,http://www.annelimanninen.fi,Diplomi-insinööri,Kansalliskonservatiivit,0.059477254,1.265414651,-0.153393038,-1.760256533
Eliisa Panttila,Vaasa,Perussuomalaiset,38,http://www.eliisapanttila.com,Elämän ylimmät opinnot,Kansalliskonservatiivit,-0.114431138,0.992721896,-0.116929591,-0.47350393
Aleksi Hernesniemi,Vaasa,Perussuomalaiset,23,http://www.aleksihernesniemi.com,Yhteiskuntatieteiden kandidaatti,Oikeisto,1.796021859,1.262114215,0.714308066,-1.335071321
Krista Juurikko,Helsinki,Perussuomalaiset,45,http://www.juurikko.fi,Opistotaso,Kansalliskonservatiivit,-0.050206832,0.913527954,0.921141251,-1.321966465
Sampo Terho,Helsinki,Perussuomalaiset,37,http://www.sampoterho.net,Filosofian maisteri,Kansalliskonservatiivit,1.078637199,0.988170042,0.396643784,-1.73981097
Seppo Kanerva,Helsinki,Perussuomalaiset,74,http://www.seppokanerva.fi,ylempi korkeakoulu,Oikeisto,1.256193712,-0.786732985,0.075089909,-0.250003751
Helena Kantola,Helsinki,Perussuomalaiset,49,http://www.helenakantola.fi,Ylempi korkeakoulututkinto,Kansalliskonservatiivit,0.191583746,1.231065432,-0.751672735,-0.212728193
Ismo Soukola,Häme,Perussuomalaiset,54,http://www.ismosoukola.fi,Yo & Poliisin perustutkinto,Kansalliskonservatiivit,0.29478223,1.309571866,-1.430743888,-0.37544958
Antti Salminen,Häme,Perussuomalaiset,40,http://www.anttisalminen.fi,Ammatillinen koulutus,Kansalliskonservatiivit,0.879372147,1.815222387,0.227799117,-1.516437864
Markku Manninen,Keski-Suomi,Perussuomalaiset,55,,Koneteknikko,Kansalliskonservatiivit,0.732604435,1.739232591,-0.76220679,-0.98979378
Meiris Suominen,Keski-Suomi,Perussuomalaiset,45,http://www.msuominen.fi,amk,Kansalliskonservatiivit,0.664051032,0.69511054,0.531732081,-0.091014825
Marko Tiainen,Keski-Suomi,Perussuomalaiset,41,,Ammattikoulu,Kansalliskonservatiivit,-0.40024013,0.835091769,-1.133873282,-1.546540251
Lasse Mikkola,Oulu,Perussuomalaiset,56,http://www.lassemikkola2015.fi,YAMK-INSINÖÖRI & AMMATILLINEN OPETTAJA,Kansalliskonservatiivit,-0.396740097,1.5490809,-1.230584712,-1.968121826
Kristiina Heinonen,Satakunta,Perussuomalaiset,51,http://www.kikankivat.fi,Keskitaso,Demarit,-0.811360817,2.210687533,0.730051478,-0.853010323
Tomi Salonen,Satakunta,Perussuomalaiset,40,https://vaalit.perussuomalaiset.fi/ehdokkaat/tomi-salonen,Sähköasentaja,Kansalliskonservatiivit,0.141087903,1.871790463,-0.640640471,-1.671484391
Tero Järvelä,Satakunta,Perussuomalaiset,46,http://www.terojarvela.fi,Opisto,Kansalliskonservatiivit,0.866785131,1.351521581,0.169189427,-1.029344805
Toni Kemppainen,Uusimaa,Perussuomalaiset,35,http://vaalit.perussuomalaiset.fi/ehdokkaat/toni-kemppainen,Ylioppilas,Kansalliskonservatiivit,0.19400887,1.047218274,0.259067793,-1.42117366
Jarkko Wallenius,Uusimaa,Perussuomalaiset,47,http://wwwjarkkowallenius.fi,ylioppilas,Kansalliskonservatiivit,0.498139537,1.171532551,-1.115645202,-1.027942912
Ensio Mäntykangas,Lappi,Perussuomalaiset,58,http://www,Insinööri AMK,Demarit,-0.713769754,0.966442316,-0.280331064,-0.615086772
Kirsi Helin,Helsinki,Itsenäisyyspuolue,42,,ylioppilas,Demarit,-1.058043974,0.019156594,-0.462520286,0.752971783
Anssi Lehtineva,Helsinki,Itsenäisyyspuolue,25,http://anssilehtineva.com/,Ammattikoulu,Demarit,-0.903862196,0.975923401,0.509602892,-0.113978687
Ilkka Luoma,Helsinki,Itsenäisyyspuolue,57,http://fi-ilkkaluoma.blogspot.fi,Opistotaso,Kansalliskonservatiivit,0.230262568,1.038223358,-1.784335888,0.242694465
Susan Virkkala,Helsinki,Itsenäisyyspuolue,41,http://www.susanvirkkala.wordpress.com,Laaja matkailualan ja lentoyhtiöiden koulutus & liikunnanohjaaja & ylioppilas,Demarit,-0.849461135,0.344204455,-0.222160171,0.651819376
Riitta Tuutti-Kyrölä,Häme,Itsenäisyyspuolue,,http://www.kinoriitta.fi,keskitaso,Kansalliskonservatiivit,-0.240941987,1.97194509,0.044903558,0.046264436
Veijo Kare,Häme,Itsenäisyyspuolue,63,,Filosofiankandidaatti,Demarit,-0.559551427,-0.04930715,-1.146356129,0.559195934
Timo Hirvonen,Kaakkois-Suomi,Itsenäisyyspuolue,64,,ped yo,Kansalliskonservatiivit,0.482198433,1.226716195,-1.025761648,-0.925427879
Aarno Kaikko,Kaakkois-Suomi,Itsenäisyyspuolue,74,,kauppakoulu  maanpuolustus  kursseja,Kansalliskonservatiivit,0.209975896,1.20501726,-2.008815119,-0.485372228
Pasi Korhonen,Kaakkois-Suomi,Itsenäisyyspuolue,42,,Peruskoulu,Kansalliskonservatiivit,0.575682453,2.416293707,0.186553912,-0.428780182
Kristian Laakso,Kaakkois-Suomi,Itsenäisyyspuolue,46,http://www.sheikki.com,Ammattikoulu,Kansalliskonservatiivit,0.450788552,0.678562971,0.906163579,-1.268948901
Riikka Söyring,Helsinki,Itsenäisyyspuolue,50,http://riikkasoyring.blogit.uusisuomi.fi/,ammattilainen,Demarit,-0.933032271,0.544139151,0.247352215,0.473946687
Akseli Erkkilä,Lappi,Itsenäisyyspuolue,23,http://www.akselierkkila.fi,Yhteiskuntatieteiden yo,Demarit,-0.790634311,1.7740305,-0.68611661,-0.893582318
Matti Nevalainen,Lappi,Itsenäisyyspuolue,40,,AMK,Demarit,-1.009086195,1.258624918,-0.475597804,0.725709539
Jukka Paakki,Lappi,Itsenäisyyspuolue,44,http://www.jukkapaakki.fi,Ammattikoulu,Kansalliskonservatiivit,0.291695814,1.402193702,-0.663075126,-1.3075198
Arto Hämäläinen,Oulu,Itsenäisyyspuolue,34,http://www,Ammattikoulu & korkeampi elämänkoulu.,Kansalliskonservatiivit,-0.00931954,1.947704828,-0.58641164,0.277718221
Jaakko Impola,Oulu,Itsenäisyyspuolue,31,http://jaakkoimpola.puheenvuoro.uusisuomi.fi/,AMK,Demarit,-1.099076501,1.475167805,0.563697556,-0.336163179
Erkki Korhonen,Oulu,Itsenäisyyspuolue,,,Peruskoulu,Demarit,-1.045596708,1.399125286,0.397439965,0.803711303
Minna Paananen,Oulu,Itsenäisyyspuolue,47,,Yo,Demarit,-0.579424808,2.031914747,0.805106094,0.031623233
Ari Alén,Pirkanmaa,Itsenäisyyspuolue,49,http://ihmisyydenpuolesta.fi/team/aribonoalen/,Arkkit.yo & Res.ltn,Demarit,-0.679517214,1.099421707,-0.13176534,0.578055569
Lotta Asikainen,Pirkanmaa,Itsenäisyyspuolue,24,,Ammattikoulu,Kansalliskonservatiivit,-0.252121504,1.479443045,-0.136210656,0.743912706
Juha Hämäläinen,Pirkanmaa,Itsenäisyyspuolue,46,https://vapaakulkija.wordpress.com,Ammattikoulu,Demarit,-0.766948156,0.819105524,-0.283772199,0.320156906
Heidi Salo,Pirkanmaa,Itsenäisyyspuolue,33,,Lähihoitaja opiskelija (tällä hetkellä pienemmän lapsen kanssa kotona),Demarit,-0.716287071,0.166753957,-0.662696468,0.696193481
Julius Sarisalmi,Pirkanmaa,Itsenäisyyspuolue,30,,ylioppilas,Viherliberaalit,-0.381527291,0.692219411,-0.091840628,0.830984984
