vaalipiiri;id;sukunimi;etunimi;puolue;ikä;sukupuoli;Ammatti;Koulutus;Talousoikeistolaisuus;Nationalismikonservatiivisuus;Arvoliberaalius;Segmentit
06 Hämeen vaalipiiri;4308;Papinniemi;Antti;Vasemmistoliitto;32;M;Toimitusjohtaja;ammattitutkinto;-,524605475021342;-,56095127518289;,943684829417635;4
01 Helsingin vaalipiiri;5848;Patomäki;Heikki;Vasemmistoliitto;52;M;Professori;korkeakoulututkinto;-1,41502235693893;-,838640602855347;1,21581589292585;3
06 Hämeen vaalipiiri;5980;Pekonen;Aino-Kaisa;Vasemmistoliitto;36;F;kansanedustaja;ammattitutkinto;-1,45273383496109;-,956797521873411;,890833266067086;3
02 Uudenmaan vaalipiiri;5058;Pekonen;Sara;Vasemmistoliitto;34;F; ; ;-1,20982226890979;-1,24722885516448;1,1983947600812;3
10 Vaasan vaalipiiri;6064;Perkkalainen;Antti;Vasemmistoliitto;0;M; ; ; ; ; ; 
01 Helsingin vaalipiiri;5710;Pihlaja;Kirsi;Vasemmistoliitto;34;F;nuorisotyön suunnittelija;korkeakoulututkinto;-1,68483732138283;-1,25875626225285;,664998897083145;3
08 Kaakkois-Suomen vaalipiiri;5400;Piipponen-Pekkola;Seija;Vasemmistoliitto;54;F;Lähihoitaja;ammattitutkinto;-1,21865419370422;-1,21474888513401;,486759784728455;3
13 Lapin vaalipiiri;5030;pikkarainen;juha;Vasemmistoliitto;61;M;valvomonhoitaja;joku muu;-,890227487326771;-,325557478387881;-,386870837131474;5
09 Savo-Karjalan vaalipiiri;6028;Pikkarainen;Rauno;Vasemmistoliitto;49;M;palomies;ammattitutkinto;-1,40145230282063;1,0068442400166;,880927265004215;3
13 Lapin vaalipiiri;5235;Pistokoski;Eeva;Vasemmistoliitto;29;F;Teollinen muotoilija;korkeakoulututkinto;-,830213575357514;-,186636574811935;1,29324795963401;4
07 Pirkanmaan vaalipiiri;4175;Porttikivi;Ilkka;Vasemmistoliitto;35;M;Rikosseuraamustyöntekijä;korkeakoulututkinto;-,783593455070761;-1,32089435933307;1,03743835323091;4
11 Keski-Suomen vaalipiiri;4691;Puhakka;Henna;Vasemmistoliitto;34;F;suomen kielen ja viestinnän opettaja;korkeakoulututkinto;-1,6736287277183;-1,44446681955642;,287387111545404;3
02 Uudenmaan vaalipiiri;5408;Pulkkinen;Tapio;Vasemmistoliitto;37;M;alue- ja kunnallistekniikan asiantuntija;korkeakoulututkinto;-,642283734157985;-1,04324045227142;,907684135225339;4
13 Lapin vaalipiiri;4148;Puuronen;Vesa;Vasemmistoliitto;58;M;Professori;korkeakoulututkinto;-1,53117611877969;-1,08342195998555;,828162178904338;3
09 Savo-Karjalan vaalipiiri;6029;Puurunen;Kirsti;Vasemmistoliitto;60;F;aluetoimitsija;korkeakoulututkinto;-1,38251420912475;-,473942891330888;-,296691063234887;3
03 Varsinais-Suomen vaalipiiri;5929;Pääkkönen;Tuukka;Vasemmistoliitto;29;M;Laivaputkiasentaja;ylioppilas;-1,19133467805844;-,625673100580556;-,144175008855526;3
04 Satakunnan vaalipiiri;5753;Ranta;Raisa;Vasemmistoliitto;36;F;hankeneuvoja;korkeakoulututkinto;-1,48448218241218;-1,35276604723175;,841584783324345;3
06 Hämeen vaalipiiri;5974;Rantanen;Seppo;Vasemmistoliitto;0;M; ; ; ; ; ; 
07 Pirkanmaan vaalipiiri;4152;Rask;Virva-Mari;Vasemmistoliitto;36;F;koneenasentaja;ammattitutkinto; ; ; ; 
02 Uudenmaan vaalipiiri;5472;Raunisalo;Riika;Vasemmistoliitto;35;F;agrologi (amk);korkeakoulututkinto;-1,25687241937412;-,764006911531706;,410612170769212;3
02 Uudenmaan vaalipiiri;4685;Ronkola;Sami;Vasemmistoliitto;21;M;nuoriso- ja vapaa-ajanohjaaja;ammattitutkinto;-1,34214350319374;-,777579477051011;1,29775396753883;3
03 Varsinais-Suomen vaalipiiri;4697;Ruokonen;Marja;Vasemmistoliitto;62;F;kotipalvelutuottaja;joku muu;-1,05480957213652;-,463485045734179;-,546627959208571;5
11 Keski-Suomen vaalipiiri;5446;Räisänen;Janne;Vasemmistoliitto;39;M;Sähkö- ja automaatiotekniikan päätoiminen tuntiopettaja;korkeakoulututkinto;-1,0061865373645;,151998108872638;,972225473813991;3
09 Savo-Karjalan vaalipiiri;4711;Saarelainen;Antti;Vasemmistoliitto;25;M;Suurtalouskokki;ylioppilas;-1,40825843874199;-1,28864789180162;1,38559263736623;3
06 Hämeen vaalipiiri;5973;Saarinen;Riitta;Vasemmistoliitto;0;F; ; ; ; ; ; 
01 Helsingin vaalipiiri;4662;Sadinmaa;Kai;Vasemmistoliitto;50;M;pappi;korkeakoulututkinto;-1,90171567473691;-1,0940906980673;,800629345059221;3
12 Oulun vaalipiiri;5646;Sala;Sannamari;Vasemmistoliitto;47;F;Lastentarhanopettaja;korkeakoulututkinto;-1,27131689928529;-,782781229976245;,460333269004861;3
08 Kaakkois-Suomen vaalipiiri;6012;Sallinen;Leena;Vasemmistoliitto;0;F; ; ; ; ; ; 
04 Satakunnan vaalipiiri;5781;Salminen;Petri;Vasemmistoliitto;51;M;Työsujeluvaltuuttettu;ammattitutkinto;-,592968557393531;-,852773497329026;,648989602037289;3
02 Uudenmaan vaalipiiri;5313;Salolahti;Anne-Maria;Vasemmistoliitto;27;F;ravintolapäällikkö;korkeakoulututkinto;-,758410316452958;-,264712386845145;,947453309989226;5
10 Vaasan vaalipiiri;4274;Saloranta;Allan;Vasemmistoliitto;56;M;Asentaja;peruskoulu;-1,36199585074141;-,358716287283924;,770399980092611;3
02 Uudenmaan vaalipiiri;5699;Saramo;Jussi;Vasemmistoliitto;35;M;Poliittinen sihteeri; ;-1,66179325667036;-,743804104947146;,820917646906286;3
12 Oulun vaalipiiri;5299;Sarkkinen;Hanna;Vasemmistoliitto;26;F;Politiikka;korkeakoulututkinto;-,958121431515463;-,256605584657864;,312755484722575;5
08 Kaakkois-Suomen vaalipiiri;5738;Savolainen;Sini;Vasemmistoliitto;24;F; ;ammattitutkinto;-1,60861357771265;-1,19463810682271;1,20900675112503;3
09 Savo-Karjalan vaalipiiri;4784;Semi;Matti;Vasemmistoliitto;58;M;Rakennusmies; ;-1,12756406010511;-,206868234563665;,38462506395732;5
08 Kaakkois-Suomen vaalipiiri;6013;Silvala;Suvi;Vasemmistoliitto;0;F; ; ; ; ; ; 
07 Pirkanmaan vaalipiiri;4894;Solanterä;Minna-Maria;Vasemmistoliitto;55;F;Sosiaalityön johtaja;korkeakoulututkinto;-,938015796018386;-1,23260394740781;,477029813188821;3
03 Varsinais-Suomen vaalipiiri;4732;Suominen;Jari;Vasemmistoliitto;55;M;Osuuskuntayrittäjä;ylioppilas;-,915352813344024;-,0741461724256105;,0463535336182868;5
06 Hämeen vaalipiiri;4750;Taavela;Irma;Vasemmistoliitto;39;F;insinööri, merkonomi;korkeakoulututkinto;-1,42670879052785;-,986347176932773;,860359824951098;3
09 Savo-Karjalan vaalipiiri;4973;Tahvanainen;Petteri;Vasemmistoliitto;47;M;kirvesmies;ammattitutkinto;-1,1793614927746;,523277642083061;,0516256034579417;5
